time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-18T11:17:47.870Z,35.9908333,-117.33,2.63,2.7,ml,35,55,0.1066,0.19,ci,ci38596007,2019-07-18T11:47:42.414Z,"26km N of Trona, CA",earthquake,0.26,0.69,0.092,26,automatic,ci,ci
2019-07-18T10:05:18.120Z,40.2976667,-124.5028333,19.97,2.96,md,30,261,0.1229,0.12,nc,nc73227481,2019-07-18T18:49:03.253Z,"19km W of Petrolia, CA",earthquake,1.06,0.32,0.146,62,reviewed,nc,nc
2019-07-18T09:57:16.730Z,35.5605,-117.3863333,2,2.6,ml,34,48,0.03968,0.25,ci,ci38595599,2019-07-18T10:07:51.070Z,"23km S of Trona, CA",earthquake,0.3,0.46,0.17,26,automatic,ci,ci
2019-07-18T08:48:28.080Z,35.8950005,-117.7273331,1.95,2.61,ml,46,36,0.09124,0.17,ci,ci38595231,2019-07-18T08:59:04.730Z,"17km ESE of Little Lake, CA",earthquake,0.19,0.36,0.248,24,automatic,ci,ci
2019-07-18T08:22:02.620Z,36.1075,-117.8916667,4.13,3.05,ml,51,58,0.03146,0.17,ci,ci38595071,2019-07-19T06:09:11.040Z,"9km NE of Coso Junction, CA",earthquake,0.15,0.35,0.133,75,reviewed,ci,ci
2019-07-18T07:44:58.270Z,36.0811667,-117.8665,1.3,2.8,ml,34,55,0.03754,0.19,ci,ci38594839,2019-07-18T07:56:13.120Z,"8km ENE of Coso Junction, CA",earthquake,0.28,0.49,0.279,25,automatic,ci,ci
2019-07-18T06:14:29.400Z,36.1156667,-117.8883333,3.8,3.31,ml,46,57,0.02717,0.16,ci,ci38594383,2019-07-18T15:37:00.940Z,"10km NE of Coso Junction, CA",earthquake,0.14,0.33,0.103,138,reviewed,ci,ci
2019-07-18T05:35:03.895Z,31.2713,-103.3475,5,2.9,ml,,56,0.35,0.47,us,us70004mw3,2019-07-18T06:06:05.040Z,"21km SE of Pecos, Texas",earthquake,1.6,1.9,0.073,61,reviewed,us,us
2019-07-18T05:26:41.640Z,36.1136667,-117.8783333,5.82,2.55,ml,30,56,0.0194,0.15,ci,ci38594095,2019-07-18T05:37:34.150Z,"10km NE of Coso Junction, CA",earthquake,0.25,0.5,0.205,25,automatic,ci,ci
2019-07-18T05:18:11.570Z,36.1151667,-117.8811667,5.2,3.36,ml,57,56,0.02144,0.17,ci,ci38594055,2019-07-19T05:20:11.095Z,"10km NE of Coso Junction, CA",earthquake,0.15,0.37,0.115,105,reviewed,ci,ci
2019-07-18T04:15:37.930Z,36.1075,-117.8913333,3.96,2.86,ml,33,58,0.0312,0.16,ci,ci38593655,2019-07-18T04:26:32.330Z,"9km NE of Coso Junction, CA",earthquake,0.26,0.49,0.15,25,automatic,ci,ci
2019-07-18T04:06:28.700Z,36.1305,-117.8911667,-0.38,2.7,ml,32,58,0.0321,0.36,ci,ci38593583,2019-07-18T12:09:10.652Z,"11km NNE of Coso Junction, CA",earthquake,0.58,31.61,0.218,25,automatic,ci,ci
2019-07-18T04:02:07.920Z,36.1106682,-117.8840027,0.47,3.38,ml,41,54,0.02458,0.2,ci,ci38593567,2019-07-18T12:04:35.781Z,"9km NE of Coso Junction, CA",earthquake,0.28,0.42,0.233,19,automatic,ci,ci
2019-07-18T04:01:32.220Z,36.1138333,-117.8815,2.28,3.43,ml,53,56,0.02189,0.18,ci,ci38593559,2019-07-18T16:17:04.003Z,"10km NE of Coso Junction, CA",earthquake,0.16,0.28,0.187,33,reviewed,ci,ci
2019-07-18T04:00:51.010Z,36.1173333,-117.8781667,5.63,2.84,ml,12,111,0.01887,0.1,ci,ci38593551,2019-07-18T04:04:34.695Z,"10km NE of Coso Junction, CA",earthquake,0.35,0.39,0.103,4,automatic,ci,ci
2019-07-18T03:59:14.870Z,36.1126667,-117.8868333,2.5,4.62,mw,75,54,0.02635,0.19,ci,ci38593535,2019-07-19T21:56:26.040Z,"9km NE of Coso Junction, CA",earthquake,0.13,0.28,,6,reviewed,ci,ci
2019-07-18T03:05:39.350Z,35.631,-117.431,3.82,2.69,ml,35,56,0.03456,0.18,ci,ci38593255,2019-07-18T03:42:50.024Z,"15km S of Searles Valley, CA",earthquake,0.25,0.55,0.186,26,automatic,ci,ci
2019-07-18T03:02:37.870Z,35.616,-117.4558333,10.29,3.24,ml,60,27,0.02989,0.13,ci,ci38593247,2019-07-18T16:37:38.900Z,"18km SSW of Searles Valley, CA",earthquake,0.1,0.18,0.163,110,reviewed,ci,ci
2019-07-18T02:36:31.360Z,35.6326667,-117.4345,6.32,2.83,ml,38,55,0.03356,0.21,ci,ci38593111,2019-07-18T02:47:18.000Z,"15km S of Searles Valley, CA",earthquake,0.28,0.54,0.152,25,automatic,ci,ci
2019-07-18T02:34:59.140Z,35.6205,-117.426,4,2.58,ml,34,53,0.04456,0.15,ci,ci38593095,2019-07-18T02:46:13.500Z,"16km S of Searles Valley, CA",earthquake,0.2,0.44,0.143,25,automatic,ci,ci
2019-07-18T02:33:43.570Z,35.7525,-117.5775,6.68,3.34,ml,60,40,0.06517,0.16,ci,ci38593087,2019-07-18T16:53:57.310Z,"16km W of Searles Valley, CA",earthquake,0.12,0.35,0.17,92,reviewed,ci,ci
2019-07-17T23:43:17.140Z,47.8561666666667,-122.041666666667,30.04,2.95,ml,40,36,,0.17,uw,uw61536697,2019-07-20T15:54:37.536Z,"2km ENE of Cathcart, Washington",earthquake,0.3,0.44,0.202304380814285,25,reviewed,uw,uw
2019-07-17T23:18:51.820Z,35.6416667,-117.4715,6.36,2.52,ml,46,51,0.04537,0.15,ci,ci38592095,2019-07-18T18:19:24.560Z,"15km SSW of Searles Valley, CA",earthquake,0.14,0.33,0.209,62,reviewed,ci,ci
2019-07-17T22:41:15.310Z,35.3708333,-117.8423333,2.83,3.24,ml,73,31,0.1032,0.17,ci,ci38591911,2019-07-18T23:42:44.805Z,"19km W of Johannesburg, CA",earthquake,0.12,0.35,0.21,142,reviewed,ci,ci
2019-07-17T22:29:15.770Z,36.1103333,-117.8338333,2.14,2.58,ml,29,55,0.0185,0.16,ci,ci38591847,2019-07-17T22:40:36.580Z,"13km NE of Coso Junction, CA",earthquake,0.22,0.3,0.163,24,automatic,ci,ci
2019-07-17T22:01:35.670Z,35.6456667,-117.447,4.92,3.35,ml,59,39,0.02716,0.14,ci,ci38591663,2019-07-18T17:30:43.351Z,"14km SSW of Searles Valley, CA",earthquake,0.1,0.21,0.152,134,reviewed,ci,ci
2019-07-17T22:01:20.400Z,36.2013333,-117.8921667,1.69,2.73,ml,24,62,0.08887,0.15,ci,ci38591655,2019-07-17T22:04:59.265Z,"14km SE of Olancha, CA",earthquake,0.27,0.58,0.332,25,automatic,ci,ci
2019-07-17T21:49:19.180Z,36.1158333,-117.8366667,2.43,3.87,mw,74,49,0.01483,0.18,ci,ci38591583,2019-07-18T22:40:45.775Z,"13km NE of Coso Junction, CA",earthquake,0.12,0.23,,6,reviewed,ci,ci
2019-07-17T19:54:03.790Z,35.9031667,-117.6926667,2.72,3.36,ml,57,23,0.05631,0.17,ci,ci38590983,2019-07-18T19:48:44.985Z,"20km E of Little Lake, CA",earthquake,0.11,0.31,0.119,101,reviewed,ci,ci
2019-07-17T19:42:31.560Z,35.6536667,-117.4616667,2.53,2.73,ml,18,57,0.03298,0.22,ci,ci37421845,2019-07-17T20:44:12.831Z,"14km SSW of Searles Valley, CA",earthquake,0.3,0.39,0.056,6,reviewed,ci,ci
2019-07-17T19:42:15.090Z,35.6498333,-117.4598333,2.45,3.61,mw,61,38,0.03316,0.18,ci,ci38590903,2019-07-18T19:44:16.486Z,"14km SSW of Searles Valley, CA",earthquake,0.13,0.22,,4,reviewed,ci,ci
2019-07-17T19:02:03.800Z,35.583,-117.42,6.27,2.62,ml,33,47,0.03457,0.24,ci,ci38590679,2019-07-17T19:12:44.430Z,"20km S of Trona, CA",earthquake,0.31,0.67,0.168,25,automatic,ci,ci
2019-07-17T16:46:39.560Z,35.8743333,-117.6808333,4.74,2.82,ml,37,44,0.07746,0.18,ci,ci38589903,2019-07-17T16:57:51.400Z,"22km ESE of Little Lake, CA",earthquake,0.2,0.51,0.156,25,automatic,ci,ci
2019-07-17T15:23:28.180Z,36.3913333,-83.6395,13.97,2.96,md,31,48,0.1468,0.11,se,se60281976,2019-07-20T05:28:08.878Z,"8km SW of New Tazewell, Tennessee",earthquake,0.33,0.62,0.122,29,reviewed,se,se
2019-07-17T15:12:00.020Z,35.8996667,-117.7176667,8.56,3.08,ml,39,34,0.0728,0.24,ci,ci37421821,2019-07-17T22:17:40.040Z,"18km ESE of Little Lake, CA",earthquake,0.24,0.75,0.129,23,reviewed,ci,ci
2019-07-17T15:11:50.890Z,35.8951667,-117.719,8.17,3.31,ml,58,23,0.07662,0.15,ci,ci38589319,2019-07-18T15:13:39.632Z,"18km ESE of Little Lake, CA",earthquake,0.11,0.34,0.164,130,reviewed,ci,ci
2019-07-17T15:07:20.950Z,35.8965,-117.7186667,8.22,3,ml,54,20,0.07552,0.14,ci,ci38589287,2019-07-17T20:59:59.040Z,"18km ESE of Little Lake, CA",earthquake,0.11,0.31,0.155,73,reviewed,ci,ci
2019-07-17T14:48:46.950Z,35.6823333,-117.472,5.71,3.08,ml,55,36,0.04293,0.14,ci,ci38589175,2019-07-17T19:51:05.040Z,"11km SSW of Searles Valley, CA",earthquake,0.11,0.38,0.146,82,reviewed,ci,ci
2019-07-17T13:24:40.760Z,35.9288333,-117.6838333,2.24,2.68,ml,36,38,0.03315,0.18,ci,ci38588591,2019-07-17T13:35:29.550Z,"20km E of Little Lake, CA",earthquake,0.19,0.38,0.125,26,automatic,ci,ci
2019-07-17T12:57:33.460Z,35.9271667,-117.6813333,3.13,3.04,ml,41,39,0.03254,0.16,ci,ci38588455,2019-07-18T20:31:45.520Z,"20km E of Little Lake, CA",earthquake,0.14,0.41,0.169,85,reviewed,ci,ci
2019-07-17T12:11:09.990Z,35.6705,-117.4168333,8.76,2.67,ml,39,70,0.007739,0.19,ci,ci38588111,2019-07-17T17:46:39.387Z,"11km S of Searles Valley, CA",earthquake,0.26,0.55,0.138,24,automatic,ci,ci
2019-07-17T09:46:06.550Z,35.6485,-117.4533333,2.41,2.58,ml,31,58,0.02929,0.15,ci,ci38587239,2019-07-17T15:28:56.335Z,"14km SSW of Searles Valley, CA",earthquake,0.21,0.33,0.125,25,automatic,ci,ci
2019-07-17T09:13:30.189Z,36.6134,-112.3914,18.41,2.7,ml,,64,0.201,0.9,us,us70004m49,2019-07-17T11:39:10.966Z,"38km SSE of Fredonia, Arizona",earthquake,1.7,5.2,0.049,54,reviewed,us,us
2019-07-17T08:09:01.102Z,39.8766,-98.3294,5,2.7,mb_lg,,85,1.482,0.59,us,us70004m3p,2019-07-18T02:39:45.224Z,"14km NW of Mankato, Kansas",earthquake,2.5,1.6,0.05,103,reviewed,us,us
2019-07-17T05:49:52.290Z,35.8568344,-117.685997,3.68,3.07,ml,45,40,0.08018,0.16,ci,ci38586063,2019-07-17T06:58:01.061Z,"22km ESE of Little Lake, CA",earthquake,0.18,0.61,0.246,23,automatic,ci,ci
2019-07-17T05:16:00.810Z,35.6213333,-117.422,2.66,2.6,ml,32,92,0.04371,0.17,ci,ci38585935,2019-07-17T05:27:11.400Z,"16km S of Searles Valley, CA",earthquake,0.25,0.31,0.134,26,automatic,ci,ci
2019-07-17T03:45:58.870Z,36.1213333,-117.8861667,5.04,2.91,ml,52,57,0.02562,0.17,ci,ci38585423,2019-07-17T17:47:40.045Z,"10km NNE of Coso Junction, CA",earthquake,0.15,0.4,0.135,59,reviewed,ci,ci
2019-07-17T03:23:27.970Z,36.1166667,-117.8901667,3.38,3.48,mlr,68,54,0.0286,0.19,ci,ci38585311,2019-07-19T02:23:38.009Z,"10km NNE of Coso Junction, CA",earthquake,0.13,0.34,0.105,99,reviewed,ci,ci
2019-07-17T03:22:49.540Z,36.1184998,-117.8899994,3.49,3.16,ml,50,55,0.02847,0.2,ci,ci38585303,2019-07-17T15:57:24.072Z,"10km NNE of Coso Junction, CA",earthquake,0.22,0.51,0.292,22,reviewed,ci,ci
2019-07-17T03:08:29.050Z,35.6831667,-117.533,8.65,2.65,ml,34,56,0.06771,0.15,ci,ci38585215,2019-07-17T03:19:25.410Z,"15km ENE of Ridgecrest, CA",earthquake,0.19,0.53,0.122,25,automatic,ci,ci
